Org,Technologies,Slots,Ideas Page,Contact,2018
Swift,"c++, llvm,  cmake, swift",0,https://swift.org/project-ideas,https://swift.org/community/,2018
SymPy,python,7,https://github.com/sympy/sympy/wiki/GSoC-2018-Ideas,https://gitter.im/sympy/sympy,2018
Systers Community,"ios, android, python, ruby on rails, javascript",11,https://github.com/systers/systers.github.io/wiki/GSoC-2018,http://systers.io/slack-systers-opensource/,2018
TEAMMATES @ National University of Singapore," java, appengine, javascript",5,http://tinyurl.com/teammates-ideas,https://github.com/TEAMMATES/teammates#contacting-us,2018
The Center for Connected Learning and Computer-Based Modeling," javascript, scala, html5/css3",2,https://github.com/NetLogo/NetLogo/wiki/Google-Summer-of-Code-Ideas-List,https://gitter.im/NetLogo/GSoC,2018
The Eclipse Foundation,"php,  java, xtext, javascript, c/c++",7,https://wiki.eclipse.org/Google_Summer_of_Code_2018_Ideas,https://accounts.eclipse.org/mailing-list/soc-dev,2018
The Honeynet Project,"python 3,  python, golang, c/c++, machine learning",17,https://honeynet.org/gsoc2018/ideas,https://gsoc-slack.honeynet.org/,2018
The Java Pathfinder Team,"java, jvm, android, distributed systems",4,https://github.com/javapathfinder/jpf-core/wiki/GSoC-2018-Project-Ideas,https://groups.google.com/forum/#!forum/java-pathfinder,2018
The Libreswan Project,"c, python,  shell script, qemu",3,https://libreswan.org/wiki/GSoC2018,https://libreswan.org/wiki/GSoC2018,2018
The Linux Foundation,"c, c++, cups, ipp",12,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2018,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2018#if-you-have-questions,2018
The MacPorts Project,"tcl, html/javascript, frontend, vue.js, react.js",0,https://trac.macports.org/wiki/SummerOfCode,https://www.macports.org/contact.php#IRC,2018
The Mifos Initiative,"java, android, spring, angularjs, mysql",12,https://mifosforge.jira.com/wiki/spaces/RES/pages/225411076/Google+Summer+of+Code+2018+Ideas,https://gitter.im/openMF/mifos,2018
The NetBSD Foundation,"c, bsd make",4,https://wiki.netbsd.org/projects/gsoc/,https://wiki.netbsd.org/community/,2018
The ns-3 Network Simulator Project,"c/c++,  python",5,https://www.nsnam.org/wiki/GSOC2018Projects,https://ns-3.zulipchat.com,2018
The Processing Foundation,"java, javascript, python, android, opengl",16,https://github.com/processing/processing/wiki/Project-List,https://forum.processing.org/two/categories/summer-of-code-2018,2018
The Qt Project,"c++11, cpp, qt, qml, opengl",1,https://wiki.qt.io/Google_Summer_of_Code/2018/Project_Ideas,https://wiki.qt.io/IRC,2018
The syslog-ng project.,"java, c/c++, big data, elasticsearch, rest",1,https://github.com/balabit/syslog-ng/wiki/GSoC2018-Idea-&-Project-list,https://gitter.im/balabit/syslog-ng,2018
The Vega Visualization Tools by the UW Interactive Data Lab,"javascript, typescript, react, d3.js",2,https://docs.google.com/document/d/1YKBzT-aTrKGxA-G6ktzRSIC-ihc3JCWmNW5k7OL85nA/edit?usp=sharing,https://communityinviter.com/apps/vega-js/join,2018
The Wine Project," directx,  x11,  win32, opengl, c",2,https://wiki.winehq.org/SummerOfCode,https://www.winehq.org/irc,2018
TimVideos.us,"fpga, verilog, python, c",2,https://github.com/timvideos/getting-started/issues,http://webchat.freenode.net/?channels=%23timvideos&uio=d4,2018
TLA+,"java, tla+, eclipse, ocaml, smt",1,https://github.com/tlaplus/tlaplus/blob/master/general/docs/contributions.md,https://groups.google.com/forum/#!forum/tlaplus,2018
UCSC Xena," javascript, python, clojure, react, jvm",1,https://github.com/ucscXena/ucsc-xena-client/wiki/Google-Summer-of-Code-Ideas-2018,https://groups.google.com/forum/#!forum/xena-google-summer-of-code,2018
VideoLAN,"c, c++, go, vue.js",10,https://wiki.videolan.org/SoC_2018/,https://www.videolan.org/support/,2018
ViSP,c/c++,2,https://github.com/lagadic/visp/wiki/GSoC_2018,https://github.com/lagadic/visp/wiki/GSoC_2018#for-students-interested-in-applying,2018
vitrivr,"java, angularjs, spark, grpc",1,https://vitrivr.org/gsoc.html#ideas,https://groups.google.com/forum/#!forum/vitrivr,2018
webpack,"javascript, web development, html5/css3, node.js, webassembly",3,https://docs.google.com/document/d/17snmViHEAM3vhj6bf0nH0-i0so_rQf4PeK5OuCrXcV8/edit?usp=sharing,http://webpack.js.org,2018
Wikimedia Foundation,"php, javascript, ruby on rails, android, reactjs",12,https://www.mediawiki.org/wiki/Google_Summer_of_Code/2018,https://wikimedia.zulipchat.com/#narrow/stream/gsoc18-outreachy16,2018
WorldBrain.io - Verifying the Internet,"react, javascript, browser extension, datproject",3,https://github.com/WorldBrain/Memex/issues?q=is%3Aissue+is%3Aopen+label%3A%22GSoC+2018+Projects%22,http://join-worldbrain.herokuapp.com,2018
X.org Foundation,"opengl, vulkan, x11, wayland, opencl",2,https://www.x.org/wiki/SummerOfCodeIdeas/,https://www.x.org/wiki/SummerOfCodeIdeas/,2018
Xapian Search Engine Library,"c++, unicode, swig, linux, golang",2,https://trac.xapian.org/wiki/GSoCProjectIdeas,https://trac.xapian.org/wiki/GSoC_IRC,2018
XBMC Foundation,"python, c/c++, github, mysql",2,http://kodi.wiki/view/Google_Summer_of_Code/2018,http://kodi.wiki/view/Kodi_related_projects_and_sites,2018
Xi Editor Project,"rust, swift",3,http://google.github.io/xi-editor/gsoc.html,https://botbot.me/mozilla/xi/,2018
xpra.org,"python, javascript, compression, remote access, cython",0,https://xpra.org/trac/wiki/ProjectIdeas,https://xpra.org/trac/wiki/Help,2018
XWiki," java, javascript, html5, css3, velocity",3,http://gsoc.xwiki.org/,http://dev.xwiki.org/xwiki/bin/view/Community/Chat,2018
Zulip,"python, django, javascript, react native, electron",10,https://zulip.readthedocs.io/en/latest/overview/gsoc-ideas.html,https://chat.zulip.org,2018
52°North Initiative for Geospatial Open Source Software GmbH,"javascript, android, web,  java",2,https://wiki.52north.org/Projects/GSoC2019ProjectIdeas,https://wiki.52north.org/Projects/GSoC#Contact,2019
AboutCode.org,"python,  javascript, nlp, automaton, search",3,https://github.com/nexB/aboutcode/wiki/GSOC-2019,https://gitter.im/aboutcode-org/discuss,2019
AerospaceResearch.net,"python,  c/c++, vhdl, boinc, java",7,https://aerospaceresearch.net/?page_id=1111,https://aerospaceresearch.zulipchat.com/,2019
aimacode,"python, python 3,  java,  javascript, machine learning",4,http://aima.cs.berkeley.edu/gsoc.html,http://aima.cs.berkeley.edu/gsoc.html,2019
Amahi,"golang, ruby on rails,  android, ios, containers",7,https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas,https://www.amahi.org/community,2019
Android Graphics Tools Team,"opengl, vulkan, spir-v, java,  c/c++",2,https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2019.md,mailto:android-graphics-tools@google.com,2019
AOSSIE - Australian Open Source Software Innovation and Education,"scala, javascript, isabelle proof assistant, android, ios",18,http://aossie.org/#ideas,https://gitter.im/AOSSIE/Lobby,2019
Apertium,"c++, python, xml, bash",10,http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,http://wiki.apertium.org/wiki/IRC,2019
apertus° Association,"fpga, embedded, vhdl, c, linux",4,https://lab.apertus.org/project/board/20/,https://www.apertus.org/irc-chat,2019
API Client Tools at Google,"openapi, grpc, protocol buffers, rpc, rest",1,https://github.com/googleapis/googleapis.github.io/wiki/Project-Ideas,mailto:actools-info@google.com,2019
appleseedhq,"c++11, python, opengl",2,https://github.com/appleseedhq/appleseed/wiki/List-of-Project-Ideas-for-GSoC-2019,https://discord.gg/dNCE5J8,2019
Ardupilot.org,"drones, python, linux, robotics, c/c++",5,http://ardupilot.org/dev/docs/gsoc-ideas-list.html,https://gitter.im/ArduPilot/GSoC,2019
Bazel,"windows,  c/c++,  java, bazel",2,https://github.com/bazelbuild/bazel/wiki/Project-Ideas,mailto:bazel-dev@googlegroups.com,2019
BeagleBoard.org,"raspberry pi, linux kernel, javascript, python, hardware acceleration",3,https://beagleboard.org/gsocideas,https://beagleboard.org/gsocchat,2019
Berkman Klein Center for Internet and Society,"ruby on rails, meteor.js, elasticsearch,  python,  java",3,https://cyber.harvard.edu/gsoc,https://cyber.harvard.edu/gsoc/Main_Page#Contact_Us,2019
"Biomedical Informatics, Emory University","python, java, deep learning, medical imaging, tensorflow",4,https://github.com/sharmalab/Emory-BMI-GSoC-2019#list-of-ideas,https://github.com/sharmalab/Emory-BMI-GSoC-2019#communicating-with-the-mentors,2019
Blender Foundation,"c, c++, python, opengl",7,https://wiki.blender.org/wiki/GSoC/Ideas_Suggestions,https://www.blender.org/get-involved/developers/,2019
Boost C++,c++ libraries c++11 c++14 c++17 c++20,11,https://github.com/boostorg/boost/wiki/Google-Summer-of-Code:-2019,https://www.boost.org/community/irc.html,2019
BRL-CAD,"c/c++, opengl, opencl, python, javascript",8,https://github.com/opencax/GSoC/issues,https://brlcad.zulipchat.com,2019
Buildroot,"gnu make, kconfig, python, shell",1,https://elinux.org/Buildroot:GSoC2019Ideas,https://buildroot.org/support.html,2019
Canadian Center for Computational Genomics,"python,  r-project,  javascript,  react,  nodejs",4,https://bitbucket.org/mugqic/gsoc_2019,mailto:gsoc2019@computationalgenomics.ca,2019
Catrobat,"java, android, swift, symfony",9,http://developer.catrobat.org/gsoc_2019_ideas_page.html,https://catrob.at/mailinglist,2019
cBioPortal for Cancer Genomics,"java, javascript, reactjs, database, web apps",6,https://github.com/cBioPortal/GSoC/wiki/ideas,https://slack.cbioportal.org/,2019
CBMI@UTHSC,"reactjs,  python, flask, javascript, tensorflow",3,https://docs.google.com/document/d/1HQCrOy694zVUnhx7xibheohTeonS1OzEKW22RbEUyvU/edit#,https://groups.google.com/forum/#!forum/cbmiuthsc-gsoc/new,2019
CCExtractor Development,"ai, c, python, cloud, javascript",10,https://www.ccextractor.org/public:gsoc:ideas_page_for_summer_of_code_2019,https://www.ccextractor.org/public:general:support,2019
Center for Research in Open Source Software at UC Santa Cruz,"python,  javascript,  c/c++, verilog",4,https://github.com/uccross/uccross.github.io/blob/master/gsoc19.md,https://gitter.im/uccross/gsoc,2019
CERN-HSF," c/c++, python, data analysis, parallelization, machine learning",29,https://hepsoftwarefoundation.org/activities/gsoc.html,http://hepsoftwarefoundation.org/activities/gsoc.html,2019
CGAL project,"c++, git, swig, python",9,https://github.com/CGAL/cgal/wiki/Project-Ideas,https://www.cgal.org/mailing_list.html,2019
CHAOSS,"python, javascript, jupyter, mysql, elasicsearch",4,https://github.com/chaoss/governance/blob/master/GSoC-Ideas.md,https://chaoss.community/participate/,2019
Chapel,"chapel, python, high performance computing, c, c++",4,http://chapel-lang.org/gsoc,https://gitter.im/chapel-lang/chapel,2019
Checker Framework,java,5,https://rawgit.com/typetools/checker-framework/master/docs/developer/gsoc-ideas.html,https://groups.google.com/forum/#!forum/checker-framework-gsoc,2019
CircuitVerse.org,"rails,  javascript, postgresql, bootstrap, html5 canvas",3,https://github.com/CircuitVerse/CircuitVerse/wiki/Project-Ideas,https://gitter.im/CircuitVerse/community?utm_source=share-link&utm_medium=link&utm_campaign=share-link,2019
CiviCRM,"php, mysql,  angularjs, javascript",2,https://lab.civicrm.org/community/gsoc/blob/master/projects.md,https://chat.civicrm.org,2019
"CLiPS, University of Antwerp"," python,  javascript, mongodb",4,https://docs.google.com/document/d/1fdsApd42kg7ujq5a1rmS_AViJAFUEWipDLAufc5u2pg,http://www.clips.uantwerpen.be:3001/,2019
Cloud Native Computing Foundation (CNCF),"kubernetes, golang, prometheus, docker",15,https://github.com/cncf/soc#project-ideas,https://github.com/cncf/soc,2019
CloudCV,"python 3, django, aws, angularjs, docker",4,https://gsoc.cloudcv.org/,https://gitter.im/Cloud-CV/,2019
coala,"python 3,  java,  angularjs,  haskell,  docker",10,https://projects.coala.io,http://coala.io/chat,2019
Computational Biology @ University of Nebraska-Lincoln,"javascript, react, postgresql, webgl",5,http://helikarlab.org/GSoC2019.html,https://groups.google.com/forum/#!forum/helikarlab-gsoc,2019
coreboot,"c, assembler",3,https://doc.coreboot.org/contributing/project_ideas.html,https://doc.coreboot.org/community/forums.html,2019
Creative Commons,"javascript, python, postgresql, wordpress, elasticsearch",5,https://creativecommons.github.io/gsoc-2019/project-ideas/,https://creativecommons.github.io/community/,2019
CRIU (Checkpoint/Restore in User-space),"docker, linux, containers, kernel",1,https://criu.org/Google_Summer_of_Code_Ideas,https://lists.openvz.org/mailman/listinfo/criu,2019
Cuneiform Digital Library Initiative (CDLI),"python, php, mysql,  java, html/css",5,https://github.com/cdli-gh/Framework/wiki/Google-Summer-of-Code-2019-Ideas-List,mailto:cdli@ucla.edu,2019
D Programming Language,"dlang, linux, windows, osx, bsd",5,https://wiki.dlang.org/GSOC_2019_Ideas,https://kiwiirc.com/nextclient/#irc://irc.freenode.net/#d,2019
DBpedia," apache spark,  python,  javascript, skala, java",6,https://github.com/dbpedia/GSoC/issues,https://wiki.dbpedia.org/join/get-in-touch,2019
Debian,"git, python, javascript,  c/c++, irc",5,https://wiki.debian.org/SummerOfCode2019/Projects,https://wiki.debian.org/IRC,2019
Developers Italia,"python, go, scala, node.js, html/css/js",3,https://developers.italia.it/en/gsoc-ideas,https://slack.developers.italia.it/,2019
Digital Impact Alliance," android, java, php, python, javascript",3,http://gsoc.dial.community/,https://dial.zulipchat.com/#narrow/stream/110501-OSC-Summer.20of.20Codel,2019
Django Software Foundation,"python, django",2,https://code.djangoproject.com/wiki/SummerOfCode2019,https://docs.djangoproject.com/en/dev/internals/contributing/new-contributors/,2019
Drupal,"php, symfony, sql, javascript, drupal 8",2,https://groups.drupal.org/node/534703,https://drupal.slack.com/messages/C2ESCQHNX,2019
Earth Science Information Partners,"python, kubernetes, jupyter, deep learning, gdal",2,https://github.com/ESIPFed/gsoc/issues,https://esip-slack-invite.herokuapp.com/,2019
Fedora Project," python, html/css/js, rest, angular, golang",5,https://docs.fedoraproject.org/en-US/mentored-projects/gsoc/2019/ideas/,https://webchat.freenode.net/?channels=#fedora-summer-coding,2019
FFmpeg,"c99, assembler",6,https://trac.ffmpeg.org/wiki/SponsoringPrograms/GSoC/2019,https://ffmpeg.org/contact.html#IRCChannels,2019
FOSDEM,"javascript, grafana, voctomix, influxdb, ruby on rails",2,https://docs.google.com/document/d/1NfUqP5nWyCnImszcpBnwKQ-YGzwclv3D0mYe8YuldJg/edit?usp=sharing,http://webchat.freenode.net/?channels=fosdem-gsoc,2019
FOSSASIA,"javascript, python, java, reactjs, c",14,https://labs.fossasia.org/ideas.html,https://gitter.im/fossasia/fossasia,2019
FOSSology Project,"postgresql, php,  c/c++, jquery, bash",3,https://github.com/fossology/fossology/issues/1266,https://fossology.slack.com,2019
FrameNet Brasil at the Federal University of Juiz de Fora,"php, mysql, javascript,  python",2,http://www.ufjf.br/framenetbr-eng/summer-of-code/,https://framenetbrgsoc.slack.com,2019
Free and Open Source Silicon Foundation,"verilog, compiler, risc-v, web development, jenkins",7,https://fossi-foundation.org/gsoc19-ideas,https://gitter.im/librecores/Lobby,2019
FreeBSD," c/c++, llvm, shell script,  assembly, make",6,https://wiki.freebsd.org/SummerOfCodeIdeas,https://wiki.freebsd.org/SummerOfCode/IRC,2019
FreeType,"c, gnu make, gnu autotools, python, fonts",3,https://www.freetype.org/gsoc.html,https://lists.nongnu.org/mailman/listinfo/freetype-devel,2019
freifunk,"c, python, ruby, openwrt, html/css/js",10,https://projects.freifunk.net,http://irc.freifunk.net,2019
"Genes, Genomes and Variation","perl, mysql,  javascript,  python, rest",3,http://www.ensembl.info/about/student-projects/,http://lists.ensembl.org/mailman/listinfo/dev,2019
GENIVI Alliance,"yocto, embedded, automotive, some/ip",2,https://at.projects.genivi.org/wiki/x/2QDe,https://lists.genivi.org/mailman/listinfo/genivi-projects_lists.genivi.org,2019
Gentoo Foundation,"shell script, bash,  c/c++,  python, linux kernel",2,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2019/Ideas,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2019/Application_Guidelines,2019
Git,"c, shell, git",2,https://git.github.io/SoC-2019-Ideas/,http://git-scm.com/community,2019
Global Alliance for Genomics and Health," java, mongodb, spring",5,https://docs.google.com/document/d/1Aw413LFR6ILqjXJoNpbZ-51f52oN8mEvp0MPvxWVXRE/edit?usp=sharing,mailto:gsoc@genomicsandhealth.org,2019
GNOME,"c, javascript, gtk+, python, rust",8,https://wiki.gnome.org/Outreach/SummerOfCode/2019/Ideas,https://wiki.gnome.org/Community/GettingInTouch/IRC,2019
GNSS-SDR," c/c++, c++ libraries c++11 c++14 c++17 c++20, c++17, gnss, sdr",3,https://gnss-sdr.org/google-summer-code-2019-ideas-list/,http://lists.sourceforge.net/lists/listinfo/gnss-sdr-developers,2019
GNU Compiler Collection," c/c++, gnu autotools",6,https://gcc.gnu.org/wiki/SummerOfCode,https://gcc.gnu.org/wiki/GCConIRC,2019
GNU Mailman,"python 3, email, rest, django",1,https://wiki.list.org/x/17892040,https://webchat.freenode.net/?channels=#mailman,2019
GNU Octave,"c++, hg",0,http://wiki.octave.org/Summer_of_Code_Project_Ideas,https://webchat.freenode.net/?channels=#octave,2019
GNU Radio,"python, c++, qt, android",2,https://wiki.gnuradio.org/index.php/GSoCIdeas,https://www.gnuradio.org/about/,2019
Godot Engine,"c++, gdscript, opengl, cpp, github",8,https://github.com/godotengine/godot-roadmap/blob/master/GSoC/GSoC-2019.md,https://godotengine.org/community,2019
gprMax,"python, cuda, openmp, cython, mpi",2,https://github.com/gprMax/gprMax/blob/master/gsoc/project-ideas-2019.md,https://groups.google.com/forum/?hl=en-GB#!forum/gprmax,2019
Haiku,"c++, unix, posix, arm, x86",1,https://www.haiku-os.org/community/gsoc/2019/ideas,https://www.haiku-os.org/community/irc,2019
Haskell.Org,"haskell, ghc, servant, codeworld, cabal",15,https://summer.haskell.org/ideas.html,https://summer.haskell.org/contact.html,2019
Hydra Ecosystem,"python, redis, flask, javascript, sql",2,https://www.hydraecosystem.org/gsoc-19,https://gitter.im/HTTP-APIs/Lobby,2019
INCF,"python, javascript, jupyter, c++, xml",17,https://www.incf.org/gsoc2019/projectlist,mailto:info@incf.org,2019
Inkscape,"svg, css, c++11, gtk,  python",1,http://wiki.inkscape.org/wiki/index.php/Google_Summer_of_Code#Suggested_Project_Ideas,https://inkscape.org/community/discussion/,2019
Institut für Angewandte Informatik (InfAI) e.V.,"java,  javascript, a-frame, neo4j, htc vive",1,https://github.com/softvis-research/Getaviz/wiki/GSoC-Ideas-2019,mailto:softvis@uni-leipzig.de,2019
Intel Media And Audio For Linux,"video, audio, ffmpeg, gstreamer, hardware acceleration",2,https://01.org/linuxmedia/documentation/gsoc-2019-ideas,https://01.org/linuxmedia/blogs/seanvk/2017/vaapi-media-consolidation,2019
InterMine,"java,  python,  javascript,  clojure,  r",6,http://intermine.org/gsoc/project-ideas/2019/,http://chat.intermine.org/,2019
Internet Archive,"python, javascript, node.js, php, elasticsearch",2,https://docs.google.com/document/d/1posF4zhq2lAz7eikloT9_K4LnHXfJ5VWGpCtJS6rJ0M/edit?usp=sharing,mailto:iagsoc2019@gmail.com,2019
Internet Systems Consortium," c/c++, c99, mysql, python, javascript",1,https://gitlab.isc.org/isc-projects/kea/wikis/gsoc/kea%20gsoc%202019,https://lists.isc.org,2019
JabRef,"java, javafx, latex",1,http://www.jabref.org/GSoC2019.html,https://gitter.im/JabRef/jabref,2019
JBoss Community,"java, golang, react",8,https://developer.jboss.org/wiki/GSoC2019Ideas,https://developer.jboss.org/wiki/JBossGSoCContactInformation,2019
JdeRobot - Universidad Rey Juan Carlos," ros, gazebo,  python,  c/c++, opencv",6,https://jderobot.org/GSoC-2019,http://jderobot.org/Community#Questions_and_support,2019
Jenkins project," java,  javascript, docker, kubernetes, machine learning",5,https://jenkins.io/projects/gsoc/2019/project-ideas/,https://gitter.im/jenkinsci/gsoc-sig,2019
Joomla,"php,  javascript, mysql, html/css, cms",3,https://docs.joomla.org/GSOC_2019_Project_Ideas,https://glip.com/joomla,2019
JSK Robotics Laboratory / The University of Tokyo,"ros, lisp",0,http://www.jsk.imi.i.u-tokyo.ac.jp/gsoc/2019,mailto:k-okada+gsoc@jsk.imi.i.u-tokyo.ac.jp,2019
Kapitan,"kubernetes, terraform, python, jinja2, jsonnet",1,https://github.com/deepmind/kapitan/issues?q=is%3Aissue+is%3Aopen+label%3Agsoc,https://groups.google.com/d/forum/kapitan-discuss,2019
KDE Community,"c++, qt, qt5",22,https://community.kde.org/GSoC/2019/Ideas,https://userbase.kde.org/IRC_Channels,2019
Kiwix,"android, java, c++, python, javascript",2,https://www.kiwix.org/en/support-us/contribute/google-summer-of-code/,http://webchat.freenode.net/?channels=#kiwix,2019
KNIME,"javascript, java, tensorflow",2,https://docs.google.com/document/d/1uEUJOutcq3cYzuxj8ceCqurZp9PdF-ZwvXq1HkfJx7c,mailto:academia@knime.com,2019
Kodi Foundation,"c++, ffmpeg, sqlite, mysql, python",1,https://kodi.wiki/view/Google_Summer_of_Code/2019,https://kodi.wiki/view/Kodi_related_projects_and_sites,2019
LabLua,"lua,  céu",5,http://www.lua.inf.puc-rio.br/gsoc/ideas2019.html,http://groups.google.com/group/labluagsoc,2019
Libre Space Foundation," python, django, arduino, raspberry pi,  c/c++",2,https://gitlab.com/librespacefoundation/soc-org/wikis/Google-Summer-of-Code-2019#ideas,https://libre.space/community/,2019
LibreHealth,"java, javascript, webcomponents, mysql",0,https://forums.librehealth.io/ideas,https://chat.librehealth.io/channels/gsoc,2019
LibreOffice,"c++,  python,  java",6,https://wiki.documentfoundation.org/Development/GSoC/Ideas,https://wiki.documentfoundation.org/Website/IRC,2019
Libvirt,"virtualization, kvm, xen, c,  python",3,https://wiki.libvirt.org/page/Google_Summer_of_Code_Ideas,https://libvirt.org/contact.html#irc,2019
Linkerd,"golang, rust, kubernetes,  react, prometheus",2,https://linkerd.io/gsoc/,https://linkerd.io/2/get-involved/,2019
Liquid Galaxy project,"python, nodejs, android, maps api",7,https://www.liquidgalaxy.eu/2017/08/gsoc-2019-project-ideas.html,http://liquidgalaxy.slack.com,2019
LLVM Compiler Infrastructure,"llvm, clang",8,http://llvm.org/OpenProjects.html#gsoc19,http://llvm.org/docs/#irc,2019
LuaRocks,lua,2,https://luarocks.github.io/luarocks/gsoc/ideas2019.html,https://gitter.im/luarocks/luarocks,2019
MacPorts,"tcl, c, python, scripting, web",4,https://trac.macports.org/wiki/SummerOfCode,https://www.macports.org/contact.php#IRC,2019
MariaDB Foundation,"mariadb, mysql, c, c++,  java",4,https://mariadb.com/kb/en/mariadb/google-summer-of-code-2019/,https://mariadb.com/kb/en/meta/irc/,2019
Matrix.org,"python, javascript,  nodejs, postgresql, go",4,https://matrix-org.github.io/gsoc/,https://matrix.to/#/#gsoc:matrix.org,2019
MBDyn - Multibody Dynamics," python, c++, scripting",1,https://public.gitlab.polimi.it/DAER/mbdyn/wikis/Google-Summer-of-Code/Project-Ideas,http://lists.mbdyn.org/mailman/listinfo/mbdyn-users,2019
MetaBrainz Foundation Inc,"python, perl, javascript, postgres, react",6,https://wiki.musicbrainz.org/Development/Summer_of_Code/2019,https://metabrainz.org/contact,2019
MIT App Inventor," java,  javascript,  android, google app engine, gwt",4,https://github.com/mit-cml/appinventor-sources/wiki/Projects-GSoC-2019,https://groups.google.com/forum/#!forum/app-inventor-open-source-dev,2019
mlpack,c++,9,https://github.com/mlpack/mlpack/wiki/SummerOfCodeIdeas,http://webchat.freenode.net/?channels=mlpack,2019
Moira,"golang,  javascript, typescript, grafana, graphite",1,https://moira.readthedocs.io/en/latest/gsoc.html,https://t.me/moira_alert,2019
Moodle,"php,  javascript, sql, angular, ionic",2,https://docs.moodle.org/dev/Projects_for_new_developers,https://telegram.me/moodledev,2019
Mozilla,"javascript, python, rust, c++,  react",14,https://wiki.mozilla.org/Community:SummerOfCode19#Project_List,https://wiki.mozilla.org/IRC,2019
MuseScore,"qt, c++, cmake",4,https://musescore.org/en/handbook/developers-handbook/google-summer-code/ideas-2019,https://t.me/musescoreeditorchat,2019
Named Data Networking Project,"java, android,  javascript, c++14, c#",2,https://named-data.net/gsoc-2019/#project-ideas,http://minindn.memphis.edu/ndnslack/,2019
National Resource for Network Biology (NRNB),"java,  javascript, python, c++, web",11,https://github.com/nrnb/GoogleSummerOfCode/issues,https://groups.google.com/forum/#!forum/cytoscape-helpdesk,2019
Neovim,"c, lua",2,https://github.com/neovim/neovim/wiki/GSoC-2019-Ideas,https://gitter.im/neovim/neovim,2019
Netfilter project,"c, linux kernel",3,http://people.netfilter.org/pablo/nf-ideas-2019.txt,https://netfilter.org/mailinglists.html,2019
NumFOCUS,"python,  javascript, c/c++, r",19,https://github.com/numfocus/gsoc/blob/master/2019/ideas-list.md,https://groups.google.com/a/numfocus.org/forum/#!forum/gsoc,2019
NV Access,"python, c++, ui automation, iaccessible2, win32 api",1,https://github.com/nvaccess/nvda/wiki/GSOC-2019-Ideas-List,https://sourceforge.net/p/nvda/lists/nvda-devel/,2019
Open Astronomy,"python, julia, c++, numba",9,http://openastronomy.org/gsoc/gsoc2019/,http://openastronomy.org,2019
Open Bioinformatics Foundation,"python, perl, java, javascript, biojs",5,https://obf.github.io/GSoC/ideas/,https://obf.github.io/GSoC/contact/,2019
Open Chemistry,"c++, python, opengl, javascript, html",6,http://wiki.openchemistry.org/GSoC_Ideas_2019,https://openchemistry.slack.com/,2019
Open Data Kit,"android,  java",2,https://forum.opendatakit.org/t/18160,http://slack.opendatakit.org,2019
Open Roberta," java,  javascript",3,https://github.com/OpenRoberta/robertalab/wiki/Google-Summer-of-Code,https://github.com/OpenRoberta/robertalab/wiki/Community,2019
Open Source Robotics Foundation,"ros, gazebo, c++, python",7,https://github.com/osrf/osrf_wiki/wiki/GSoC,http://wiki.ros.org/Get%20Involved,2019
Open Technologies Aliance - GFOSS,"python,  javascript, gtk, qt, arduino",13,https://ellak.gr/wiki/index.php?title=Google_Summer_of_Code_2019_proposed_ideas,https://lists.ellak.gr/gsoc-developers/listinfo.html,2019
OpenCV,"c++, python",8,https://github.com/opencv/opencv/wiki/GSoC_2019,https://github.com/opencv/opencv/wiki/GSoC_2019#general-information,2019
OpenMRS," java,  javascript, spring, mysql,  android",12,https://wiki.openmrs.org/display/RES/Summer+Of+Code+2019,https://wiki.openmrs.org/display/IRC/Home,2019
OpenStreetMap," javascript, ruby,  java,  c/c++",5,https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2019/Project_ideas,https://wiki.openstreetmap.org/wiki/IRC,2019
OpenWISP,"python, django, javascript, ansible, openwrt",2,http://openwisp.org/gsoc/ideas-2019.html,https://gitter.im/openwisp/general,2019
Oppia Foundation,"angularjs, python, javascript, app engine, css",4,https://github.com/oppia/oppia/wiki/Google-Summer-of-Code-2019#oppias-project-ideas,https://github.com/oppia/oppia/wiki/Google-Summer-of-Code-2019#communication,2019
OSGeo," c/c++,  python, sql, open source databases,  java",7,https://wiki.osgeo.org/wiki/Google_Summer_of_Code_2019_Ideas,https://wiki.osgeo.org/wiki/Google_Summer_of_Code_Recommendations_for_Students#How_to_get_in_contact_via_IRC,2019
OWASP Foundation,"python,  java, javascript, php",12,https://www.owasp.org/index.php/GSoC2019_Ideas,https://owasp.slack.com/messages/CFJLZNFN1,2019
PEcAn Project,"r, python, postgresql,  docker, singularity",2,https://pecanproject.github.io/gsoc_ideas.html,https://join.slack.com/t/pecanproject/shared_invite/enQtMzkyODUyMjQyNTgzLTYyZTZiZWQ4NGE1YWU3YWIyMTVmZjEyYzA3OWJhYTZmOWQwMDkwZGU0Mjc4Nzk0NGYwYTIyM2RiZmMyNjg5MTE,2019
Percona,"mysql, postgresql, prometheus, javascript, selenium",2,https://www.percona.com/googlesummerofcode2019,https://groups.google.com/forum/#!forum/percona-gsoc,2019
